hour_index,WND,SUN,WAT,OIL,NG,COL,NUC,OTH
336,617,1192,227,0,1606,2659,0,99
337,926,1045,227,0,1679,2692,0,102
338,952,452,230,0,1815,2639,0,99
339,677,22,228,0,1848,2711,0,106
340,687,0,226,0,1794,2695,0,107
341,751,0,228,0,1769,2670,0,108
342,541,0,227,0,1576,2687,0,107
343,520,0,229,0,1488,2602,0,110
344,251,0,226,0,1499,2569,0,110
345,211,0,228,0,1394,2638,0,112
346,230,0,225,0,1356,2725,0,112
347,187,0,228,0,1432,2672,0,111
348,187,0,227,0,1454,2730,0,113
349,240,33,225,0,1461,2732,0,113
350,207,524,227,0,1355,2720,0,111
351,113,1194,230,0,1200,2264,0,111
352,131,1356,230,0,1286,2009,0,108
353,234,1410,231,0,1261,1810,0,106
354,362,1437,229,0,1506,2005,0,105
355,335,1443,231,0,1336,2280,0,103
356,438,1287,229,0,1313,2087,0,106
357,643,1221,233,0,1346,1684,0,101
358,866,1259,231,0,1316,1533,0,105
359,1186,1199,237,0,1164,1482,0,106
360,1328,1218,233,0,1258,1622,0,104
361,1424,1061,235,0,1450,2169,0,106
362,1072,502,238,0,1623,2998,0,107
363,1036,18,233,0,1695,3132,0,110
364,991,0,235,0,1769,3111,0,113
365,1066,0,232,0,1813,3036,0,115
366,1066,0,232,0,1691,2852,0,111
367,550,0,251,0,1614,2988,0,114
368,606,0,249,0,1452,3045,0,115
369,313,0,250,0,1467,3098,0,115
370,155,0,249,0,1446,3108,0,115
371,168,0,249,0,1429,3108,0,113
372,166,0,251,0,1442,3117,0,113
373,194,44,248,0,1375,3107,0,117
374,187,537,251,0,1152,2862,0,117
375,178,1180,250,0,1228,2053,0,114
376,132,1384,251,0,1302,1522,0,113
377,144,1415,251,0,1280,1716,0,109
378,194,1426,253,0,1269,1700,0,107
379,228,1385,254,0,1272,1698,0,106
380,287,1328,252,0,1281,1738,0,104
381,440,1145,250,0,1338,1949,0,103
382,755,1208,250,0,1282,2009,0,102
383,1092,1231,254,0,1313,1886,0,103
384,1141,1204,251,0,1316,1762,0,106
385,1135,1059,251,0,1401,2036,0,104
386,1039,446,251,0,1710,2849,0,111
387,925,18,254,0,1806,3163,0,111
388,713,0,251,0,1887,3192,0,110
389,639,0,250,0,1714,3244,0,113
390,739,0,250,0,1354,3178,0,111
